	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d1_0	0	0.0985676	0.0307993	0.0131693	0.00676377	0.00342712	0.00164193	0.000927031	0.000459376	0.00021953	0.000102605	4.51341e-05	1.70655e-05	1.39107e-05	1.88628e-06	8.66573e-08	1.76313e-08	0	0
d1_1	0.0516589	0.0196022	0.013439	0.0088304	0.00603002	0.0039117	0.00274577	0.00148652	0.00100812	0.000549935	0.000277846	0.000143073	8.96035e-05	2.57548e-05	1.89606e-05	9.36109e-06	0	5.92257e-06	0
d1_2	0.0221708	0.0130287	0.0106647	0.00868291	0.00658357	0.00486593	0.00368607	0.00237071	0.00170927	0.00105835	0.000629749	0.000385705	0.000197023	9.03288e-05	3.82114e-05	1.52136e-05	1.2757e-09	4.44766e-06	0
d1_3	0.0108269	0.00871064	0.00840149	0.00755825	0.00645658	0.00531274	0.00413511	0.00330039	0.00230908	0.00167229	0.00108056	0.000601943	0.000407506	0.000256794	6.66025e-05	4.20991e-05	2.74282e-05	4.21141e-08	0
d1_4	0.00544582	0.00590113	0.00633001	0.00642664	0.00613986	0.00543805	0.00468383	0.00373455	0.00310874	0.00224259	0.00154988	0.00111253	0.00075964	0.000387008	0.000199611	0.000120604	3.6723e-05	8.87266e-06	4.51406e-06
d1_5	0.00282578	0.00373155	0.00441151	0.00483723	0.00553677	0.00522802	0.00477307	0.0042062	0.00345913	0.00287556	0.00198588	0.00165995	0.00105871	0.000675905	0.000371765	0.000196294	9.57616e-05	3.26323e-05	8.81433e-06
d1_6	0.00151574	0.00235143	0.00317341	0.00412817	0.00436272	0.00467533	0.00490874	0.0046675	0.00385256	0.00346084	0.00263765	0.00206432	0.00149955	0.000911525	0.000626301	0.000363352	0.000138141	4.69716e-05	9.10825e-06
d1_7	0.000805875	0.00140445	0.00214422	0.00283058	0.00342704	0.004397	0.00417951	0.00442329	0.00430159	0.00362306	0.00317783	0.00257408	0.00197971	0.00129481	0.000830274	0.000521717	0.000257564	9.69696e-05	2.98733e-05
d1_8	0.000331877	0.000919242	0.00149082	0.00209435	0.00300388	0.00339908	0.00388308	0.00418718	0.00398438	0.0039281	0.00374135	0.00323405	0.00245589	0.00185162	0.00134746	0.000866889	0.000502409	0.000195444	5.27773e-05
d1_9	0.000202981	0.000494152	0.000988603	0.00153942	0.00206354	0.00251247	0.0030798	0.00411669	0.0038986	0.00375094	0.00383768	0.00383124	0.00279767	0.00219284	0.00166484	0.00122231	0.000711846	0.000305389	0.000100176
d1_10	0.000112708	0.000291077	0.000634077	0.00108262	0.00159402	0.00211581	0.00270108	0.00335626	0.00380515	0.00391134	0.00380508	0.00388452	0.00337078	0.00288911	0.00244881	0.00163903	0.000988871	0.000566005	0.000129731
d1_11	4.94228e-05	0.000154062	0.000321039	0.000651843	0.000955631	0.00147438	0.00210789	0.00267211	0.00323517	0.00342577	0.00402505	0.00401114	0.00360352	0.00371057	0.00269047	0.00206356	0.00146037	0.00082298	0.000345278
d1_12	1.76587e-05	6.34468e-05	0.000181613	0.000403914	0.000734628	0.000991431	0.00158511	0.00208506	0.0026305	0.00322833	0.00360969	0.0041068	0.00414056	0.00373306	0.00326078	0.00297016	0.00205471	0.00129127	0.000544824
d1_13	1.23404e-05	4.39611e-05	0.000118421	0.00023	0.00042593	0.000714274	0.00112773	0.00163685	0.00194468	0.00267642	0.00310213	0.00368397	0.00394475	0.00414031	0.00412672	0.00328114	0.00259354	0.0018743	0.000819329
d1_14	4.94325e-06	1.23481e-05	4.08949e-05	0.000133915	0.000224967	0.000425985	0.000775761	0.00111393	0.0014688	0.00206082	0.00277978	0.0032143	0.00373406	0.00413626	0.0044681	0.00423402	0.00365192	0.00273539	0.00139922
d1_15	9.45739e-08	3.7485e-07	2.582e-05	5.0561e-05	6.97138e-05	0.000258206	0.000395319	0.000607805	0.00100312	0.00147917	0.00196826	0.00274649	0.00324421	0.00389547	0.00444738	0.00473729	0.00453495	0.0035206	0.0022328
d1_16	1.29018e-07	4.61871e-06	2.64585e-06	2.04165e-05	3.6668e-05	9.39221e-05	0.000177047	0.000334321	0.000576328	0.000922978	0.00144175	0.00188768	0.00279853	0.00343559	0.0043292	0.00518717	0.00517542	0.00463371	0.00356455
d1_17	0	4.55397e-06	1.61082e-07	1.2311e-05	1.7011e-05	2.77693e-05	8.3592e-05	0.000123146	0.000245665	0.00044447	0.000802419	0.00115106	0.00203305	0.00261385	0.00363134	0.00461177	0.00586601	0.00623449	0.00567473
d1_18	0	0	0	1.2777e-07	1.38109e-07	1.36002e-05	1.53441e-05	4.68962e-05	7.89106e-05	0.000156555	0.000364452	0.000657357	0.00107238	0.00207518	0.00354414	0.00526389	0.00834115	0.0136882	0
