sample BP gen
Gusuku1024-2 2056 73.42857
Gusuku1024-3B 2606 93.07143
Gusuku0476 1993 71.17857
HeizanbaruA3 1200 42.85714
HeizanbaruA5 1000 35.71429
IreibaruD3 1300 46.42857
Furuzamami3 1281 45.75000
FuruzamamiSir1 1360 48.57143
Tomachin4 2670 95.35714
Antokudai5 2000 71.42857
Ootsubo03 1950 69.64286
Ootsubo13 1950 69.64286
Ootsubo14 1850 66.07143
JpIw31 1350 48.21429
JpIw32 1350 48.21429
JpIw33 1350 48.21429
JpFu1 5500 196.4286
JpHi01 3750 133.9286
JpKa6904 8800 314.2857
JpKo13 3900 139.2857
JpKo2 4400 157.1429
JpOd181 5800 207.1429
JpOd274 8800 314.2857
JpOd282 5800 207.1429
JpOd6 6000 214.2857
FUN23 3800 135.7143
FUN5 3800 135.7143
IK002 2500 89.28571
