seqnames	start	end	width	strand	name	gieStain
1	chr1	121700000	123400000	1700001	*	p11.1	acen
2	chr1	123400000	125100000	1700001	*	q11	acen
3	chr2	91800000	93900000	2100001	*	p11.1	acen
4	chr2	93900000	96000000	2100001	*	q11.1	acen
5	chr3	87800000	90900000	3100001	*	p11.1	acen
6	chr3	90900000	94000000	3100001	*	q11.1	acen
7	chr4	48200000	50000000	1800001	*	p11	acen
8	chr4	50000000	51800000	1800001	*	q11	acen
9	chr5	46100000	48800000	2700001	*	p11	acen
10	chr5	48800000	51400000	2600001	*	q11.1	acen
11	chr6	58500000	59800000	1300001	*	p11.1	acen
12	chr6	59800000	62600000	2800001	*	q11.1	acen
13	chr7	58100000	60100000	2000001	*	p11.1	acen
14	chr7	60100000	62100000	2000001	*	q11.1	acen
15	chr8	43200000	45200000	2000001	*	p11.1	acen
16	chr8	45200000	47200000	2000001	*	q11.1	acen
17	chr9	42200000	43000000	800001	*	p11.1	acen
18	chr9	43000000	45500000	2500001	*	q11	acen
19	chr10	38000000	39800000	1800001	*	p11.1	acen
20	chr10	39800000	41600000	1800001	*	q11.1	acen
21	chr11	51000000	53400000	2400001	*	p11.11	acen
22	chr11	53400000	55800000	2400001	*	q11	acen
23	chr12	33200000	35500000	2300001	*	p11.1	acen
24	chr12	35500000	37800000	2300001	*	q11	acen
25	chr13	16500000	17700000	1200001	*	p11.1	acen
26	chr13	17700000	18900000	1200001	*	q11	acen
27	chr14	16100000	17200000	1100001	*	p11.1	acen
28	chr14	17200000	18200000	1000001	*	q11.1	acen
29	chr15	17500000	19000000	1500001	*	p11.1	acen
30	chr15	19000000	20500000	1500001	*	q11.1	acen
31	chr16	35300000	36800000	1500001	*	p11.1	acen
32	chr16	36800000	38400000	1600001	*	q11.1	acen
33	chr17	22700000	25100000	2400001	*	p11.1	acen
34	chr17	25100000	27400000	2300001	*	q11.1	acen
35	chr18	15400000	18500000	3100001	*	p11.1	acen
36	chr18	18500000	21500000	3000001	*	q11.1	acen
37	chr19	24200000	26200000	2000001	*	p11	acen
38	chr19	26200000	28100000	1900001	*	q11	acen
39	chr20	25700000	28100000	2400001	*	p11.1	acen
40	chr20	28100000	30400000	2300001	*	q11.1	acen
41	chr21	10900000	12000000	1100001	*	p11.1	acen
42	chr21	12000000	13000000	1000001	*	q11.1	acen
43	chr22	13700000	15000000	1300001	*	p11.1	acen
44	chr22	15000000	17400000	2400001	*	q11.1	acen
